Worlds,K.D.A,WinRate,LossRate
2013,4.8,0.83,0.17
2015,7.3,0.92,0.08
2016,3.6,0.7,0.3
2017,3.7,0.58,0.42
2019,3.8,0.64,0.36
2021,4.7,0.71,0.29
