gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT02_2551235,complete,,LCK,2022,Spring,0,27/01/2022 12:31,2,12.02,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Corki,Renekton,Karma,Jayce,Xin Zhao,1837,0,5,19,13,5,19,0,0,0,0,0,,,,0.1633,0.7839,0,0,4,0,4,0,0,0,0,0,0,,0,0,1,1,1,1,1,0,0,5,10,0,1,6,2,0,3,49498,1616.7011,,2713.914,2051.5623,92,3.0049,38,1.2412,37,211,6.8917,52279,32164,1050.5389,,50555,-0.0603328,,812,158,,,31.6821,15586,18045,310,14766,18013,280,820,32,30,1,2,1,1,3,1,23283,28122,490,23329,29383,478,-46,-1261,12,1,2,2,2,5,1
ESPORTSTMNT02_2551249,complete,,LCK,2022,Spring,0,27/01/2022 13:28,3,12.02,100,Blue,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Yuumi,Renekton,Twisted Fate,Zoe,Viktor,2385,1,19,8,43,19,8,3,0,0,0,0,,,,0.478,0.6792,0,4,2,4,2,1,3,0,0,0,0,,0,0,0,1,1,0,1,1,1,10,3,1,1,5,5,3,0,86591,2178.3899,,2057.7107,1929.2327,152,3.8239,93,2.3396,59,396,9.9623,72433,46728,1175.5472,,67250,0.09624,,998,268,,,31.8491,16692,18243,310,16425,18242,317,267,1,-7,5,7,4,4,4,5,25831,29520,523,25984,29877,514,-153,-357,9,6,9,5,5,5,6
ESPORTSTMNT02_2552430,complete,,LCK,2022,Spring,0,30/01/2022 6:56,1,12.02,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Twisted Fate,Corki,Diana,Syndra,Akali,3326,0,9,14,23,9,14,1,0,0,0,0,,,,0.1624,0.4149,0,3,6,3,4,2,0,0,1,0,0,,0,2,1,2,0,0,1,3,1,7,10,0,1,8,7,1,2,104531,1885.7066,,2948.5328,3039.6512,201,3.626,111,2.0024,76,536,9.6693,93420,58113,1048.3403,,92860,-0.0636013,,1438,355,,,32.3452,15744,18688,351,16936,19053,343,-1192,-365,8,0,0,2,2,3,0,25389,30366,558,25837,30206,542,-448,160,16,1,1,3,3,3,1
ESPORTSTMNT02_2552458,complete,,LCK,2022,Spring,0,30/01/2022 9:08,2,12.02,100,Blue,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Diana,Renekton,Karma,Viktor,Akali,1805,1,19,5,46,19,5,3,1,0,0,1,,,,0.6316,0.7978,1,4,0,4,0,1,0,2,0,0,1,,0,0,1,2,0,1,2,0,1,11,2,1,1,6,0,5,0,54688,1817.8837,,2551.2798,2496.3989,113,3.7562,49,1.6288,46,250,8.3102,61237,41452,1377.9058,,58625,0.184443,,784,210,,,33.0416,16533,19717,367,15125,18115,347,1408,1602,20,1,2,0,0,0,1,25651,30691,573,23662,29372,573,1989,1319,0,1,2,0,0,0,1
ESPORTSTMNT02_2552463,complete,,LCK,2022,Spring,0,30/01/2022 10:08,3,12.02,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Twisted Fate,Corki,Jarvan IV,Diana,Nidalee,2030,1,20,15,55,20,15,4,0,0,0,0,,,,0.5911,1.0345,1,3,2,3,2,1,0,1,0,0,1,,0,0,0,0,2,0,1,1,0,8,8,0,0,10,10,1,1,80576,2381.5567,,2585.3202,1566.8571,132,3.9015,45,1.33,49,269,7.9507,66074,43986,1300.0788,,57750,-0.0519481,,915,213,,,33.3399,16194,18874,319,17430,18720,305,-1236,154,14,2,2,3,3,0,2,26405,30249,515,27098,30885,512,-693,-636,3,4,5,5,5,3,4
ESPORTSTMNT02_2577665,complete,,LCK,2022,Spring,0,9/02/2022 8:07,1,12.02,100,Blue,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Renekton,Xin Zhao,Akali,Janna,Graves,1953,0,8,17,20,8,17,0,0,0,0,0,,,,0.2458,0.768,1,1,3,1,3,0,1,0,0,0,0,1,0,0,1,2,0,0,0,1,1,2,9,0,0,9,5,0,1,50476,1550.722,,2456.0676,2204.7619,108,3.318,46,1.4132,42,211,6.4823,55377,34078,1046.9432,,50850,-0.140649,,1095,208,,,40.0307,16268,19013,340,16357,18935,315,-89,78,25,2,2,3,3,4,2,26376,30454,545,25601,29922,525,775,532,20,3,4,3,3,4,3
ESPORTSTMNT02_2557691,complete,,LCK,2022,Spring,0,9/02/2022 9:03,2,12.02,100,Blue,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Renekton,Zeri,Xin Zhao,Viktor,Akali,1505,1,10,7,22,10,7,1,0,0,0,0,,,,0.3987,0.6777,1,3,1,3,1,0,0,1,2,0,0,3,0,0,0,1,1,1,1,0,1,9,2,1,1,13,6,2,0,52372,2087.9203,,2626.5249,1779.1894,78,3.1096,32,1.2757,28,172,6.8571,49360,32631,1300.9037,,43900,0.119237,,878,190,,,42.5781,17650,19561,344,16461,18554,328,1189,1007,16,3,5,3,3,3,3,28607,30126,537,25468,29149,510,3139,977,27,5,10,4,4,4,5
ESPORTSTMNT02_2557693,complete,,LCK,2022,Spring,0,9/02/2022 9:53,3,12.02,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Zeri,Corki,Yuumi,Syndra,Akali,2817,1,15,11,34,15,11,1,0,0,0,1,,,,0.3195,0.5538,0,2,4,2,4,0,0,0,2,0,0,2,0,0,0,1,1,0,2,1,1,10,6,0,0,2,5,3,0,100354,2137.4654,,2449.2226,2230.3301,184,3.9191,67,1.4271,68,397,8.4558,85166,55055,1172.6305,,79100,-0.0199507,,1542,323,,,39.7231,15443,17993,340,15344,18958,300,99,-965,40,1,2,3,3,4,1,24065,29977,566,24059,30558,504,6,-581,62,1,2,3,3,4,1
ESPORTSTMNT02_2578644,complete,,LCK,2022,Spring,0,12/02/2022 6:05,1,12.02,100,Blue,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Akali,Xin Zhao,Aphelios,Yone,LeBlanc,2746,1,21,14,57,21,14,4,0,0,0,1,,,,0.4588,0.7647,1,3,4,1,4,0,0,0,1,0,0,,2,0,1,2,0,0,2,1,0,8,8,1,1,5,4,1,2,125450,2741.0779,,3299.8471,3868.8201,144,3.1464,59,1.2891,64,375,8.1937,90436,61049,1333.9184,,82375,0.00886461,,1154,286,,,31.4639,14832,18669,330,15637,18985,367,-805,-316,-37,0,0,0,0,0,0,23813,29983,544,24380,30105,572,-567,-122,-28,0,0,0,0,0,0
ESPORTSTMNT02_2578670,complete,,LCK,2022,Spring,0,12/02/2022 8:52,2,12.02,100,Blue,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Akali,Aphelios,Corki,Tryndamere,Yone,1833,1,13,9,32,13,9,0,0,0,0,0,,,,0.4255,0.7201,0,3,1,3,1,2,0,0,0,0,1,,0,0,1,2,0,1,1,0,1,11,0,1,1,11,0,3,0,62231,2037.0213,,2867.9542,2312.5041,102,3.3388,47,1.5385,38,222,7.2668,59815,39745,1300.982,,54433,0.141282,,808,243,,,34.4026,16109,19378,341,15049,17948,315,1060,1430,26,1,1,1,1,2,1,26874,30695,526,22771,28623,475,4103,2072,51,3,3,3,3,5,3
