Player,Games Played At Worlds
Faker,105
Uzi,82
Ruler,81
Perkz,75
Jankos,73
CoreJJ,71
Deft,65
Impact,65
Xiaohu,65
caPs,61
Jensen,61
Sneaky,61
Bang,59
Mata,59
Meiko,59
Wolf,59
Wunder,59
Crown,56
CuVee,56
PraY,56
