Name,Wins,Losses,WinLoss
Fnatic,44,29,0.602739726
SKT T1,97,33,0.746153846
Edward Gaming,69,44,0.610619469
Cloud9,45,32,0.584415584
JD Gaming,75,37,0.669642857
DWG KIA,67,43,0.609090909
G2 Esports,57,31,0.647727273
Evil Geniuses,75,47,0.614754098
Rogue,44,24,0.647058824
DRX,61,54,0.530434783
Top Esports,80,47,0.62992126
GAM Esports,66,21,0.75862069
Royal Never Give UP,103,48,0.682119205
Gen.G,76,25,0.752475248
CTBC Flying Oyster,52,22,0.702702703
100 Thieves,42,31,0.575342466
Worlds 2022,0,0,0
